"Cod_aero";"Aero";"Cod_parque";"minTime";"maxTime";"tiempo_s";"len";"tecnico";"filepath"
"0879";"41";"PAGU";"2016-11-17 11:50:21";"2016-11-17 11:53:13";172;196,7523723369;"828";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479379815828.gpx"
"0881";"43";"PAGU";"2016-11-17 11:55:58";"2016-11-17 11:57:42";104;113,980245086784;"579";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479380153579.gpx"
"0857";"19";"PAGU";"2016-11-17 12:04:35";"2016-11-17 12:08:22";227;147,705743985154;"077";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479380671077.gpx"
"0855";"17";"PAGU";"2016-11-17 12:12:03";"2016-11-17 12:15:25";202;192,970271294185;"009";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479381117009.gpx"
"0629";"01";"PCAR";"2016-11-21 10:53:54";"2016-11-21 10:56:37";163;250,531202280412;"623";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479721961623.gpx"
"0638";"10";"PCAR";"2016-11-21 11:06:52";"2016-11-21 11:08:49";117;208,961399744936;"623";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479721961623.gpx"
"0521";"13W-06";"PRIO";"2016-11-21 12:58:06";"2016-11-21 13:03:43";337;74,0489336002771;"364";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479729471364.gpx"
"0551";"11W-20";"PGAM";"2016-11-22 10:55:03";"2016-11-22 10:56:27";84;60,7472048383197;"275";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479808213275.gpx"
"0550";"11W-19";"PGAM";"2016-11-22 10:58:34";"2016-11-22 11:04:11";337;298,924722708305;"018";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479808704018.gpx"
"0556";"11W-25";"PGAM";"2016-11-22 11:10:29";"2016-11-22 11:15:08";279;195,014915711832;"545";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479809415545.gpx"
"0598";"12W-01";"PBUI";"2016-11-22 11:20:52";"2016-11-22 11:26:35";343;272,740202497678;"362";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479810042362.gpx"
"0599";"12W-02";"PBUI";"2016-11-22 11:28:23";"2016-11-22 11:34:44";381;270,952050593065;"087";"C:\GitHub\AdantiaTools\02_GPXTool\gpx/6/SONY_RCG/Adantia Track Logger_1479810495087.gpx"
